infinitive,accented_infinitive,stem,suffix,aspect,partners,conjugation_type,ru_verb_presfut_sg1,ru_verb_presfut_sg2,ru_verb_presfut_sg3,ru_verb_presfut_pl1,ru_verb_presfut_pl2,ru_verb_presfut_pl3,ru_verb_imperative_sg,ru_verb_imperative_pl,ru_verb_past_m,ru_verb_past_f,ru_verb_past_n,ru_verb_past_pl
углубиться,углуби'ться,углуб,иться,perfective,углубляться,и-conj,углублю'сь,углуби'шься,углуби'тся,углуби'мся,углуби'тесь,углубя'тся,углуби'сь,углуби'тесь,углуби'лся,углуби'лась,углуби'лось,углуби'лись
удалить,удали'ть,удал,ить,perfective,удалять,и-conj,удалю',удали'шь,удали'т,удали'м,удали'те,удаля'т,удали',удали'те,удали'л,удали'ла,удали'ло,удали'ли
ужинать,у'жинать,ужин,ать,imperfective,поужинать,е-conj,у'жинаю,у'жинаешь,у'жинает,у'жинаем,у'жинаете,у'жинают,у'жинай,у'жинайте,у'жинал,у'жинала,у'жинало,у'жинали
уметь,уме'ть,ум,еть,imperfective,суметь,е-conj,уме'ю,уме'ешь,уме'ет,уме'ем,уме'ете,уме'ют,уме'й,уме'йте,уме'л,уме'ла,уме'ло,уме'ли
упасть,упа'сть,,,perfective,падать,е-conj,*упаду',*упадёшь,*упадёт,*упадём,*упадёте,*упаду'т,*упади',*упади'те,*упа'л,*упа'ла,*упа'ло,*упа'ли
устать,уста'ть,уст,ать,perfective,уставать,е-conj,*уста'ну,*уста'нешь,*уста'нет,*уста'нем,*уста'нете,*уста'нут,*уста'нь,*уста'ньте,уста'л,уста'ла,уста'ло,уста'ли
участвовать,уча'ствовать,участвов,ать,imperfective,поучаствовать,е-conj,уча'ствую,уча'ствуешь,уча'ствует,уча'ствуем,уча'ствуете,уча'ствуют,уча'ствуй,уча'ствуйте,уча'ствовал,уча'ствовала,уча'ствовало,уча'ствовали
учить,учи'ть,уч,ить,imperfective,выучить;научить;обучить,и-conj,учу',~у'чишь,~у'чит,~у'чим,~у'чите,~у'чат,учи',учи'те,учи'л,учи'ла,учи'ло,учи'ли
фотографировать,фотографи'ровать,фотографиров,ать,imperfective,сфотографировать,е-conj,фотографи'рую,фотографи'руешь,фотографи'рует,фотографи'руем,фотографи'руете,фотографи'руют,фотографи'руй,фотографи'руйте,фотографи'ровал,фотографи'ровала,фотографи'ровало,фотографи'ровали
ходить,ходи'ть,ход,ить,imperfective,сходить,и-conj,*хожу',~хо'дишь,~хо'дит,~хо'дим,~хо'дите,~хо'дят,ходи',ходи'те,ходи'л,ходи'ла,ходи'ло,ходи'ли
хорошеть,хороше'ть,хорош,еть,imperfective,похорошеть,е-conj,хороше'ю,хороше'ешь,хороше'ет,хороше'ем,хороше'ете,хороше'ют,хороше'й,хороше'йте,хороше'л,хороше'ла,хороше'ло,хороше'ли
хотеть,хоте'ть,хот,еть,imperfective,захотеть,е-conj,*хочу',*хо'чешь,*хо'чет,*хоти'м,*хоти'те,*хотя'т,*хоти',*хоти'те,хоте'л,хоте'ла,хоте'ло,хоте'ли
хотеться,хоте'ться,хот,еться,imperfective,захотеться,unknown,?,?,*хо'чется,?,?,?,?,?,?,?,хоте'лось,?
чаять,ча'ять,ча,ять,imperfective,-,е-conj,*ча'ю,*ча'ешь,*ча'ет,*ча'ем,*ча'ете,*ча'ют,*ча'й,*ча'йте,ча'ял,ча'яла,ча'яло,ча'яли
частить,части'ть,част,ить,imperfective,-,и-conj,*чащу',части'шь,части'т,части'м,части'те,частя'т,части',части'те,части'л,части'ла,части'ло,части'ли
чувствовать,чу'вствовать,чувствов,ать,imperfective,почувствовать,е-conj,чу'вствую,чу'вствуешь,чу'вствует,чу'вствуем,чу'вствуете,чу'вствуют,чу'вствуй,чу'вствуйте,чу'вствовал,чу'вствовала,чу'вствовало,чу'вствовали
